Code,FLEET NO.,REG NO.,OLB NO.,EXPIRY DATE,NOTE
,5214,CAA108408,1794871/3,31/01/2029,
,5215,CAA114861,1794874/3,31/01/2029,
,5216,CAA132452,1805240/3,31/07/2029,
,5217,CAA138372,1804961/3,31/08/2029,
,5218,CAA495104,1805247/3,31/10/2029,
,5219,CAA495108,1784734/4,30/09/2029,
,5220,CAA495110,1784722/4,30/09/2029,
,5221,CAA495115,1794848/3,31/10/2028,
,5222,CAA495133,1794876/3,31/12/2028,
,5223,CAA33164,1773765/4,31/10/2029,
,5224,CA47962,1896617/2,31/08/2027,
,5225,CA53072,1794863/4,30/09/2028,
,5226,CA89858,1951727/1,31/07/2030,
,5227,CA92524,1805235/3,31/07/2029,
